id;date;age;gender;academic_degree;nationality;country_residence;language;num_answers;in_person;time_spent;numBlackSquare;wordBlackSquare;numWhiteSquare;wordWhiteSquare;dimensions;available_dim;color_depth;plate_one;plate_two;plate_three;plate_four;plate_five;plate_six
57114d8a4c057;15-Apr-2016 21:22:34 WEST;22;Male;Bachelor Degree;portuguese;PT;pt;9;no;3;10;hello;10;cure;1920x1080;1920x1040;24;12;27;74;45;26;35
57142079d871e;18-Apr-2016 0:47:05 WEST;51;Male;Doctoral Degree;portuguese;PT;pt;8;no;4;10;hello;9;friday;1366x768;1366x728;24;12;29;74;45;26;35
5711760a3dfe0;16-Apr-2016 0:15:22 WEST;21;Male;College;portuguese;PT;pt;8;no;4;10;hello;10;cure;1366x768;1366x728;24;12;29;74;45;28;35
571138253c724;15-Apr-2016 19:51:17 WEST;21;Male;High-School;portuguese;PT;pt;8;no;4;9;world;8;illusion;1360x768;1360x768;24;12;29;74;45;28;35
571137cd27765;15-Apr-2016 19:49:49 WEST;18;Female;College;portuguese;PT;pt;8;no;5;10;hello;10;cure;1366x768;1366x728;24;12;29;74;45;26;35
571245dfd5f63;16-Apr-2016 15:02:07 WEST;24;Female;Master Degree;portuguese;PT;pt;8;no;6;9;world;10;cure;1920x1080;1920x1080;24;12;29;74;45;28;35
57277ba3c5a5c;2-May-2016 17:09:07 WEST;20;Male;Bachelor Degree;portuguese;PT;pt;8;no;0;10;hello;10;cure;1366x768;1366x728;24;12;29;74;45;26;35
5710cd9d571f2;15-Apr-2016 12:16:45 WEST;23;Male;Bachelor Degree;portuguese;PT;pt;8;no;6;10;Hello;10;cure;1920x1080;1920x1053;24;12;29;74;45;26;35
5.71139E+12;15-Apr-2016 19:53:11 WEST;19;Female;High-School;portuguese;PT;pt;8;no;6;10;Hello;10;Cure;768x1024;768x1004;32;12;29;74;45;26;35
57116ce8cf9e5;15-Apr-2016 23:36:24 WEST;50;Female;Master Degree;portuguese;PT;pt;7;no;16;10;hello;10;cure;1438x808;1438x766;24;12;28;74;45;28;35
5711149df2d2a;15-Apr-2016 17:19:41 WEST;20;Male;College;portuguese;PT;pt;7;no;5;10;hello;10;cure;1366x768;1304x768;24;12;29;74;45;26;35
57138ac176750;17-Apr-2016 14:08:17 WEST;21;Male;Bachelor Degree;portuguese;PT;pt;7;no;8;10;hello;10;cure;1366x768;1366x728;24;12;29;74;45;26;35
5727d86840dc8;2-May-2016 23:44:56 WEST;37;Male;Bachelor Degree;portuguese;PT;pt;7;no;0;10;hello;10;cure;1680x1050;1680x1023;24;12;29;74;45;26;35
57112efa50be6;15-Apr-2016 19:12:10 WEST;19;Male;Bachelor Degree;portuguese;PT;pt;7;no;7;10;hello;10;cure;1920x1080;1920x1042;24;12;29;74;45;28;35
5712d9bc0cae3;17-Apr-2016 1:33:00 WEST;20;Female;Bachelor Degree;portuguese;PT;pt;7;no;6;10;hello;10;cure;1920x1080;1920x1040;24;12;29;74;45;26;35
5715f69931d4c;19-Apr-2016 10:12:57 WEST;23;Male;Ensino Superior - Licenciatura;portuguese;PT;pt;7;no;22;10;hello;10;cure;1440x900;1440x873;24;12;29;74;45;26;35
5710ee3fd83e6;15-Apr-2016 14:35:59 WEST;23;Male;Master Degree;portuguese;PT;pt;7;no;5;10;hello;10;cure;1280x720;1280x680;24;12;29;74;45;26;35
573613f4689a3;13-May-2016 18:50:44 WEST;18;Male;High-School;british;GB;en;7;no;0;1;hello;10;cure;1920x1080;1920x1033;24;12;29;74;45;26;35
5710cd0a515bb;15-Apr-2016 12:14:18 WEST;25;Male;Master Degree;portuguese;PT;pt;7;no;15;10;hello;10;cure;1920x1080;1920x1040;24;12;29;80;43;26;35
5710d8d6aecd6;15-Apr-2016 13:04:38 WEST;23;Female;Bachelor Degree;portuguese;PT;pt;7;no;6;10;hello;10;cure;1280x800;1280x708;24;12;29;74;45;26;35
