id,age,gender,num_answers,in_person,typeOfQuestion,first_color,second_color,third_color,clicks,rating,C1_name,C2_name,distance_expectedC1C2,distance_HSV,distance_LCh,distance_CMYK,distance_RGB,distance_Lab,distance_pair1,distance_pair2,distance_pair3,distance_pair4
572934019041e,20,Female,6,no,objTwoColors,#FF0080,341,323,147,4,Red      ,Magenta  ,0.18,0.02,0.09,0.05,0.03,0.01,0.76,0.72,0.53,0.52
572c85675a5ef,23,Male,32,yes,objTwoColors,#FF0080,6,335,115,4,Red      ,Red      ,0.22,0.14,0.12,0.01,0.08,0.08,0.81,0.77,0.58,0.57
5734779e28d4b,23,Female,3,no,objTwoColors,#FF0080,14,8,195,4,Red      ,Red      ,0.35,0.15,0.09,0.04,0.11,0.13,0.81,0.76,0.58,0.56
5734918f46823,26,Male,32,no,objTwoColors,#FF0080,12,142,225,3,Red      ,Green    ,0.41,0.32,0.1,0.18,0.26,0.23,0.68,0.65,0.46,0.46
5735d3455a84c,29,Male,32,no,objTwoColors,#FF0080,300,349,335,4,Pink     ,Red      ,0.66,0.04,0.18,0.06,0.06,0.06,0.46,0.42,0.31,0.32
5738cf3d97a58,23,Male,32,no,objTwoColors,#FF0080,7,256,379,3,Red      ,Blue     ,0.23,0.14,0.18,0.14,0.17,0.11,1.06,1.02,0.83,0.82
573a0b8280839,29,Male,21,yes,objTwoColors,#FF007A,40,52,33,3,Yellow   ,Green    ,0.51,0.22,0.17,0.2,0.21,0.21,0.54,0.5,0.34,0.33
573e4022949b1,24,Male,32,yes,objTwoColors,#FF007A,6,0,148,5,Red      ,Red      ,0.34,0.16,0.08,0.04,0.12,0.13,0.83,0.79,0.6,0.59
573e47c26cb8e,24,Male,32,yes,objTwoColors,#FF007A,10,42,44,2,Red      ,Yellow   ,0.33,0.15,0.09,0.11,0.12,0.14,0.62,0.59,0.4,0.39
573e4d0eb795b,24,Male,32,yes,objTwoColors,#FF007A,0,334,96,4,Red      ,Magenta  ,0.2,0.12,0.12,0.01,0.07,0.08,0.81,0.77,0.59,0.57
573ec4275ba17,24,Female,32,yes,objTwoColors,#FF007A,50,304,184,4,Green    ,Pink     ,0.26,0.16,0.21,0.16,0.08,0.11,0.86,0.83,0.67,0.67
573edae85268b,27,Male,32,yes,objTwoColors,#FF007A,359,320,709,4,Red      ,Pink     ,0.09,0.08,0.14,0.03,0.02,0.04,0.84,0.8,0.61,0.6
574297edae49c,24,Male,32,no,objTwoColors,#FF0080,307,7,178,4,Pink     ,Red      ,0.65,0.06,0.16,0.06,0.03,0.01,0.49,0.45,0.27,0.28
57451c3b38192,23,Female,32,no,objTwoColors,#FF0080,0,334,58,5,Red      ,Magenta  ,0.2,0.12,0.12,0.01,0.07,0.08,0.81,0.77,0.59,0.57
5745500f6e643,24,Female,32,no,objTwoColors,#FF0080,7,0,53,5,Red      ,Red      ,0.34,0.16,0.08,0.04,0.12,0.13,0.83,0.79,0.6,0.59
57459c393bbd0,29,Male,31,no,objTwoColors,#FF0080,9,180,186,4,Red      ,Blue     ,0.22,0.37,0.14,0.18,0.23,0.17,0.81,0.78,0.58,0.58
5756ab1701ba0,21,Male,32,yes,objTwoColors,#FF007A,7,300,360,3,Red      ,Pink     ,0.05,0.03,0.16,0.06,0.03,0.03,0.91,0.88,0.68,0.68
5756ae6897296,21,Male,32,yes,objTwoColors,#FF007A,54,300,406,4,Green    ,Pink     ,0.3,0.16,0.22,0.17,0.09,0.12,0.87,0.85,0.69,0.69
5756b2d9bd658,23,Female,32,yes,objTwoColors,#FF007A,44,308,197,4,Yellow   ,Pink     ,0.21,0.15,0.2,0.15,0.07,0.09,0.84,0.81,0.64,0.64
5757fd2703090,22,Male,32,yes,objTwoColors,#FF0080,332,0,328,2,Magenta  ,Red      ,0.47,0.12,0.04,0.01,0.07,0.08,0.69,0.65,0.46,0.45
5757ffca0b4b1,24,Male,32,yes,objTwoColors,#FF0080,331,0,100,5,Magenta  ,Red      ,0.48,0.11,0.04,0.02,0.06,0.07,0.68,0.64,0.45,0.44
57581518c2c07,25,Male,32,yes,objTwoColors,#FF0080,5,43,333,4,Red      ,Yellow   ,0.32,0.15,0.08,0.11,0.12,0.14,0.63,0.58,0.4,0.38
57582b17cd76a,26,Male,32,yes,objTwoColors,#FF0080,10,300,94,3,Red      ,Pink     ,0.06,0.04,0.16,0.06,0.03,0.03,0.9,0.88,0.68,0.68
5710d28fec2d1,30,Male,32,no,objTwoColors,#FF0080,0,293,141,1,Red      ,DK-Purple,0.07,0.03,0.17,0.07,0.04,0.04,0.94,0.91,0.72,0.71
5711106ab212a,33,Male,32,no,objTwoColors,#FF0080,8,0,509,4,Red      ,Red      ,0.34,0.16,0.08,0.04,0.12,0.13,0.83,0.79,0.6,0.59
5711148c11035,35,Male,22,no,objTwoColors,#FF0080,319,57,128,3,Pink     ,Green    ,0.58,0.16,0.09,0.16,0.09,0.12,0.31,0.27,0.09,0.08
57112e1a2bbbb,32,Male,16,no,objTwoColors,#FF0080,16,227,374,2,Red      ,Blue     ,0.26,0.2,0.18,0.16,0.21,0.12,1.04,1.01,0.81,0.81
571153ca15566,32,Male,32,no,objTwoColors,#FF0080,182,310,333,2,Blue     ,Pink     ,0.44,0.4,0.28,0.25,0.3,0.24,0.59,0.57,0.53,0.53
571252e6d2e70,31,Female,32,no,objTwoColors,#FF0080,8,0,25,5,Red      ,Red      ,0.34,0.16,0.08,0.04,0.12,0.13,0.83,0.79,0.6,0.59
57153eb9b4bed,35,Female,31,no,objTwoColors,#FF0080,0,341,94,5,Red      ,Red      ,0.25,0.14,0.1,0.02,0.09,0.1,0.81,0.77,0.59,0.57
57190633f233f,30,Male,32,no,objTwoColors,#FF0080,4,178,110,3,Red      ,Blue     ,0.21,0.36,0.13,0.18,0.23,0.17,0.8,0.77,0.57,0.57
573607add000c,38,Male,5,no,objTwoColors,#FF0080,8,308,309,3,Red      ,Pink     ,0.01,0.06,0.16,0.06,0.02,0.01,0.88,0.85,0.65,0.65
573a059da0efd,31,Female,32,yes,objTwoColors,#FF007A,8,0,323,1,Red      ,Red      ,0.34,0.16,0.08,0.04,0.12,0.13,0.83,0.79,0.6,0.59
573c783748e8b,37,Female,32,yes,objTwoColors,#FF007A,351,73,244,3,Red      ,Yellow   ,0.38,0.17,0.07,0.15,0.15,0.18,0.58,0.55,0.36,0.36
5740a8b59d448,31,Female,32,yes,objTwoColors,#FF007A,7,0,22,5,Red      ,Red      ,0.34,0.16,0.08,0.04,0.12,0.13,0.83,0.79,0.6,0.59
5740b686127bb,32,Male,32,yes,objTwoColors,#FF007A,334,298,372,3,Magenta  ,Pink     ,0.18,0.11,0.09,0.11,0.12,0.13,0.79,0.76,0.57,0.57
5745b5cbe3caa,34,Female,32,no,objTwoColors,#FF0080,213,300,536,2,Blue     ,Pink     ,0.55,0.38,0.16,0.25,0.35,0.3,0.43,0.43,0.55,0.57
574859b8f3379,30,Male,32,yes,objTwoColors,#FF007A,352,196,190,3,Red      ,LI-Blue  ,0.19,0.33,0.14,0.19,0.22,0.14,0.89,0.86,0.66,0.66
57110028bc74b,48,Female,32,no,objTwoColors,#FF0080,0,311,203,3,Red      ,Pink     ,0.02,0.04,0.15,0.04,0.01,0.01,0.87,0.84,0.65,0.64
57112d8509632,45,Female,32,no,objTwoColors,#FF0080,335,333,194,5,Red      ,Magenta  ,0.31,0.03,0.06,0.06,0.01,0.01,0.69,0.65,0.47,0.46
571154184c9bd,47,Female,32,no,objTwoColors,#FF0080,14,188,95,1,Red      ,Cyan     ,0.21,0.38,0.15,0.2,0.23,0.16,0.84,0.81,0.61,0.61
571183866d73f,48,Female,32,no,objTwoColors,#FF0080,356,0,130,5,Red      ,Red      ,0.34,0.16,0.08,0.04,0.12,0.13,0.83,0.79,0.6,0.59
5713b10383207,40,Male,32,no,objTwoColors,#FF0080,7,0,14,4,Red      ,Red      ,0.34,0.16,0.08,0.04,0.12,0.13,0.83,0.79,0.6,0.59
5714d563c6e52,49,Female,13,no,objTwoColors,#FF0080,0,357,74,4,Red      ,Red      ,0.32,0.16,0.08,0.04,0.12,0.13,0.83,0.78,0.61,0.58
573664e1a4a96,49,Male,18,no,objTwoColors,#FF0080,300,4,74,2,Pink     ,Red      ,0.68,0.02,0.2,0.06,0.03,0.03,0.46,0.42,0.31,0.32
573c70dabcfe0,49,Male,32,yes,objTwoColors,#FF007A,68,182,549,3,Yellow   ,Blue     ,0.51,0.4,0.26,0.26,0.31,0.27,0.79,0.76,0.62,0.63
5740ad339507d,40,Male,32,yes,objTwoColors,#FF007A,7,0,12,2,Red      ,Red      ,0.34,0.16,0.08,0.04,0.12,0.13,0.83,0.79,0.6,0.59
5740e3f36a945,49,Female,32,yes,objTwoColors,#FF007A,4,0,3,2,Red      ,Red      ,0.33,0.16,0.08,0.04,0.12,0.13,0.83,0.79,0.6,0.59
5710e540a9514,52,Female,32,no,objTwoColors,#FF0080,3,16,10,4,Red      ,Red      ,0.31,0.15,0.08,0.04,0.11,0.13,0.79,0.74,0.56,0.54
5711800f2c5f3,59,Female,31,no,objTwoColors,#FF0080,7,296,165,3,Red      ,Pink     ,0.07,0.01,0.16,0.07,0.04,0.04,0.93,0.9,0.7,0.7
57149713464b1,51,Female,32,no,objTwoColors,#FF0080,0,0,0,1,Red      ,Red      ,0.33,0.16,0.08,0.04,0.12,0.13,0.83,0.79,0.61,0.59
571534076a966,52,Male,9,no,objTwoColors,#FF0080,359,202,210,3,Red      ,Navy-Blue,0.17,0.3,0.16,0.17,0.21,0.12,0.93,0.9,0.7,0.7
5716e9900f6ea,58,Female,31,no,objTwoColors,#FF0080,236,16,220,3,Blue     ,Red      ,0.87,0.17,0.3,0.16,0.22,0.12,0.25,0.28,0.47,0.47
57363b3954a26,55,Male,16,no,objTwoColors,#FF0080,356,300,386,2,Red      ,Pink     ,0.05,0.02,0.16,0.06,0.04,0.04,0.91,0.88,0.68,0.68
5739ff85289b2,56,Female,25,yes,objTwoColors,#FF007A,113,37,8,2,Green    ,Yellow   ,0.73,0.31,0.34,0.23,0.32,0.29,0.66,0.64,0.54,0.53
57112b9e10661,64,Female,34,no,objTwoColors,#FF0080,10,155,37,2,Red      ,Cyan     ,0.33,0.34,0.11,0.17,0.24,0.2,0.7,0.68,0.48,0.48
571165992a5c1,67,Female,32,no,objTwoColors,#FF0080,300,353,283,3,Pink     ,Red      ,0.67,0.03,0.19,0.06,0.05,0.04,0.46,0.42,0.31,0.32
5713b961c216a,647,Male,11,no,objTwoColors,#FF0080,331,334,248,5,Magenta  ,Magenta  ,0.35,0.02,0.04,0.06,0.02,0.01,0.66,0.62,0.43,0.42
5740b0f8e9734,62,Male,33,yes,objTwoColors,#FF007A,329,0,78,4,Magenta  ,Red      ,0.5,0.11,0.05,0.02,0.06,0.07,0.66,0.62,0.44,0.43
5740bda9be3dc,83,Female,32,yes,objTwoColors,#FF007A,322,331,186,5,Magenta  ,Magenta  ,0.39,0.03,0.03,0.08,0.07,0.06,0.59,0.55,0.36,0.35
